ID,votos
10000000135,1708.08
10000000142,1414.5
10000000158,65647.9
10000000161,44373.66
10000000163,98318.17647058824
10000000164,10302.04
10000000166,60772.1
10000000169,98178.5
10000000170,15937.04
10000000171,66566.86
10000000172,31808.74
10000000173,62000.72
10000000176,9315.34
10000000177,35976.32
10000000178,56446.82
10000000179,34220.4
10000000180,11491.82
10000000327,988.74
10000000347,3947.82
10000000348,2988.02
10000000349,8912.54
10000000358,5257.44
10000000363,2486.42
10000000365,919.8709677419355
10000000366,1525.82
10000000367,1459.9807692307693
10000000368,41079.26
10000000369,1058.74
10000000370,1356.24
10000000371,1392.72
10000000602,4903.22
10000000603,5066.22
10000000607,34050.74
10000000608,7743
10000000609,14133.2
10000000610,3115.32
10000000611,1338.74
10000000613,65295.46
10000000614,92710.2
10000000615,65204.44
10000000616,101385.92
10000000617,24588.5
10000000618,11619.2
10000000619,2028.98
10000000620,13525.82
10000000624,34755.02
10000000721,1708.08
10000000761,52172.96
20000000009,1408.32
20000000010,1021.7
20000000019,4898.18
20000000023,1358.58
20000000024,573.9803921568628
20000000043,65946.64
20000000044,47976.18
20000000045,13222.32
20000000046,12473.88
20000000047,2715.24
20000000050,1589.72
20000000052,1685.42
20000000054,11105.18
20000000059,1256.54
20000000060,12822.12
20000000082,2353.6
20000000083,1191.3653846153845
20000000085,1027.64
20000000086,1027.64
20000000119,942.6730769230769
20000000126,2342.74
20000000127,92686.98
20000000128,36640.1
20000000153,98346.52
20000000156,70570.48
20000000157,3302.1
20000000158,830.12
20000000159,1464.38
20000000160,7403.803921568628
20000000167,113258.98
20000000169,6766.54
20000000170,35471.84
20000000172,30070.24
20000000198,1102.82
20000000265,2768.56
20000000266,95423.14
20000000267,11358.22
20000000269,83357.78
20000000270,1256.54
20000000271,2766.84
20000000272,1256.54
20000000273,39322.82
20000000274,76493.1
20000000277,13996.14
20000000278,33449.7
20000000280,11783.68
20000000281,36231.62
20000000282,26988.02
20000000283,13241.22
20000000284,31013.3
20000000286,3004.16
20000000287,88286.34
20000000289,26849.26
20000000364,6060.34
20000000367,3484.06
20000000369,63943.58
20000000373,13564.72
20000000380,83120.1
20000000381,1585.86
20000000382,112421.74
20000000385,14685.7
20000000391,4738.76
20000000393,884.9215686274509
20000000444,5110.36
20000000446,1506.02
20000000449,1395.38
20000000468,1024.12
20000000474,2485.7
20000000482,1242.26
20000000484,1024.12
20000000485,1024.12
20000000503,39755.2
20000000541,10396.92
30000000004,1753.78
30000000005,1467.24
30000000022,11026.7
30000000029,41554.58
30000000033,2532.5
30000000084,37900.52
30000000085,13653.5
30000000086,2958.76
30000000087,14002.66
30000000089,2742.54
30000000090,2583.96
30000000091,2740.86
30000000092,2448.92
30000000108,2636.02
30000000116,36010.08
30000000117,4178.92
30000000118,62351.42
30000000119,114115.74
30000000120,1148.26
30000000121,1433.3
30000000122,11821.48
30000000123,1643.48
30000000124,9905.66
30000000142,9093.58
30000000143,8354.875
30000000144,874.2452830188679
30000000145,59143.1
30000000146,7045.22
30000000147,3117.54
30000000148,63001.24
30000000149,874.2452830188679
30000000150,1476.34
30000000152,1357.48
30000000153,3129.14
30000000154,34141.74
30000000155,2621.84
30000000156,2987.72
30000000157,36552.1
30000000158,32530.44
30000000159,7332.76
30000000160,2730.48
30000000161,1055.0588235294117
30000000165,1055.0588235294117
30000000338,89349.66
30000000344,1055.0588235294117
30000000345,9773.8
30000000346,1455.52
30000000347,965.58
30000000348,2095.6666666666665
30000000349,13407
30000000350,1957.82
30000000351,942.6730769230769
30000000352,978.66
30000000353,20019.94
30000000354,2768.56
30000000355,2508.0392156862745
30000000356,7625.06
30000000360,965.58
30000000462,52290.36
30000000463,2135.6470588235293
30000000464,5932
30000000465,905.46
30000000466,48961.2
30000000467,9811.36
30000000468,48652.76
30000000469,69306.18
30000000470,20434.72
30000000472,1017.8
30000000473,1017.8
30000000475,1017.8
30000000477,1017.8
30000000478,2095.6666666666665
30000000479,3483.06
30000000480,1118.24
30000000551,3072.3
30000000567,1017.8
30000000568,1017.8
40000000001,918.0327868852459
40000000003,1067.140350877193
40000000077,127352.52
40000000078,92186.28
40000000079,35990.92
40000000080,939.5
40000000081,118260.32
40000000082,108251.46
40000000083,51100.76
40000000085,1038.76
40000000086,133288.48
40000000087,92490.46
40000000088,1300.78
40000000089,63616.92
40000000090,1300.8301886792453
40000000091,2584.24
40000000092,1234.0555555555557
40000000093,4518.04
40000000094,2414.02
40000000095,11264.66
40000000096,9256.62
40000000097,1363.2549019607843
40000000098,1179.52
40000000185,1596.64
40000000338,3099
40000000339,11582.54
40000000340,35834.54
40000000341,28256.6
40000000342,9050.7
40000000344,3070.68
40000000345,130763.88
40000000346,1476.34
40000000347,27684.66
40000000348,8588.12
40000000349,107224.62
40000000350,1199.32
40000000351,10501.7
40000000353,138918.9
40000000601,6252.22
40000000602,12040.74
40000000616,1130.4
40000000617,1130.4
40000000640,1130.4
40000000713,1393.7407407407406
40000000718,1302.28
40000000719,3840.32
40000000720,2561.16
40000000722,1241.32
40000000723,1459.9807692307693
40000000744,1418.3142857142857
40000000746,1381.54
40000000749,5901.14
40000000750,1257.7
40000000752,1381.54
40000000753,1219.24
40000000862,2833.18
40000000865,11627.82
40000000874,2123.62
40000000961,581.4137931034483
40000001042,905.46
40000001121,8661.42
40000001202,1183.2
50000000003,2416.02
50000000005,1638
50000000008,5315.78
50000000010,1143.86
50000000011,1602.38
50000000012,1490.54
50000000014,1166.5576923076924
50000000016,1143.86
50000000017,3291.5
50000000019,1194.3454545454545
50000000020,1373.32
50000000024,2181.94
50000000027,9063.68
50000000035,1807.4
50000000039,1452.9
50000000042,1143.86
50000000043,1143.86
50000000051,2254.8
50000000053,3284.56
50000000061,1330.7
50000000066,12085.5
50000000068,1143.86
50000000072,1143.86
